"scenario","simple_difference","rebar_x1","rebar_y0hat","reloop_rf_po","reloop_rf_v12","reloop_rf_interp","true_tau","mean_DeltaY0","mean_DeltaY0_hat","mean_abs_DeltaX1","mean_abs_DeltaX2","mean_abs_DeltaX3","mean_abs_DeltaY0_hat","cor_DeltaY0hat_DeltaY0","cor_DeltaX1_DeltaY0","cor_DeltaX2_DeltaY0","cor_DeltaX3_DeltaY0","prop_unit1_treated","n_treated_full","n_control_full","treatment_rate_full","n_matched","n_pairs","n_remnant","n_remnant_controls","sim"
"unrelated",0.219430117539457,-0.225880066332316,0.116467908679029,0.0636620404040485,0.187353621497353,0.17943884410487,0,0.219430117539457,0.102962208860428,1.0951205917582,1.02669634956823,0.0513451023689633,0.582876278768602,0.331714366553162,0.0134647633805587,0.370772648717588,-0.0183737192350732,0.457831325301205,166,834,0.166,332,166,668,668,4
"opposite",-0.0445778387288962,-0.602550945250138,0.106651203640084,0.191686024295647,0.168829327745827,0.171353233597988,0,-0.0445778387288962,-0.151229042368981,1.29131924911039,1.13537398490519,0.194402836729519,0.504829599320811,0.406226476352399,-0.47617973010541,0.164935718890726,0.185345548572827,0.4375,192,808,0.192,384,192,616,616,4
"aligned",0.315297424803409,-0.17148783693525,0.102043895653547,0.0288058156914622,0.105647518104469,0.0863836122140185,0,0.315297424803409,0.213253529149862,1.12597310420235,1.18921753756411,0.0736192837861374,0.537601108278683,0.340323778989307,0.435882585478001,0.0106363660094143,0.185482010992616,0.532894736842105,152,848,0.152,304,152,696,696,5
"unrelated",0.0401343323974125,-0.254579848934231,0.0457180040081545,0.0240509436933204,-0.0053841141826434,0.00565817393899715,0,0.0401343323974125,-0.00558367161074202,1.00348795311629,1.21905739532893,0.0484254199512646,0.54447043809817,0.48130276076328,0.15539828581101,0.50086467186387,0.216742826623926,0.491891891891892,185,815,0.185,370,185,630,630,5
"opposite",-0.224590035412236,-0.816110620028732,0.0360263692319568,-0.00463057018579767,-0.0142402458107408,-0.0139427283739021,0,-0.224590035412236,-0.260616404644193,1.28832008146649,1.11061497824704,0.0375889787792346,0.615753578171056,0.381397404486193,-0.441366418659902,-0.106619485106577,0.0177557701157662,0.494252873563218,174,826,0.174,348,174,652,652,5
"aligned",0.194361401657268,-0.316031455682148,0.0340790982582914,-0.0991829601683092,-0.0172576215994056,-0.0255601301125152,0,0.194361401657268,0.160282303398977,1.19983448632705,1.19497871489616,0.0121051208944853,0.626945984417985,0.404255340487607,0.467773234474007,0.0741617434607281,0.205057708202645,0.509433962264151,159,841,0.159,318,159,682,682,6
"unrelated",-0.0792063532093215,-0.479801182150891,-0.0581699798562225,-0.144009788539364,-0.0940973131519449,-0.10770913616063,0,-0.0792063532093215,-0.021036373353099,1.15594595160089,1.04692559892707,0.0459105444715119,0.547434933780403,0.405896549690086,0.0770190783633265,0.411457858916512,0.177636331751063,0.545977011494253,174,826,0.174,348,174,652,652,6
"opposite",-0.298428854005082,-0.966112417212804,-0.0439970683564953,-0.00274981200750102,-0.0417580129951958,-0.0361804577805377,0,-0.298428854005082,-0.254431785648587,1.21575946891699,1.09988501244458,0.0201602569734278,0.550578710057947,0.314558571991631,-0.458323061036587,0.112177303971242,0.0676182406264807,0.573099415204678,171,829,0.171,342,171,658,658,6
"aligned",0.314110700412698,-0.250693206941159,0.14053317417799,0.0763769111045816,0.107956372021313,0.0967048835689114,0,0.314110700412698,0.173577526234708,1.11738914903333,1.11423543267981,0.101790543627339,0.463646198781407,0.320464737214393,0.428303355092116,0.0948354724242225,0.112712253757912,0.494252873563218,174,826,0.174,348,174,652,652,7
"unrelated",0.151699940207358,-0.277338546566295,0.0617425000627971,-0.0374184724017469,0.029319599006835,0.0144275966029058,0,0.151699940207358,0.0899574401445607,1.10750053341207,0.994160799233552,0.10472519729853,0.494189211444877,0.319374102814868,0.103695680508036,0.475102749295441,0.177647765595447,0.518072289156627,166,834,0.166,332,166,668,668,7
