"scenario","functional_form","matching_quality","simple_difference","rebar_y0hat","reloop_rf_po","reloop_rf_v12","reloop_rf_interp","cf_loop_p05","cf_ipw_rf","cf_aipw_rf","true_tau","mean_DeltaY0","mean_DeltaY0_hat","mean_DeltaX1","mean_DeltaX2","mean_DeltaX3","mean_abs_DeltaX1","mean_abs_DeltaX2","mean_abs_DeltaX3","mean_abs_DeltaY0_hat","cor_DeltaY0hat_DeltaY0","cor_DeltaX1_DeltaY0","cor_DeltaX2_DeltaY0","cor_DeltaX3_DeltaY0","prop_unit1_treated","mean_e_hat_cf","sd_e_hat_cf","n_treated_full","n_control_full","treatment_rate_full","n_matched","n_pairs","n_remnant","n_remnant_controls","sim"
"unrelated","nonlinear","bad",0.488112228529657,0.47674724912816,0.461480527247838,0.451481854782952,0.45537994573402,0.196773010676235,-0.918823671164178,-0.321832685173327,0,0.488112228529657,0.0113649794014968,0.986092347147041,-0.094220248862329,0.35127784394547,1.29324478417452,1.20939694696964,0.351700682174143,0.783150613998951,0.682560186097148,-0.00636867664800776,0.728210163714907,0.0537695155943187,0.47098976109215,0.419158134243458,0.318415194234628,293,707,0.293,586,293,414,414,1
"unrelated","nonlinear","good",0.494942484153217,0.419273988483857,0.327450973498504,0.323858804400677,0.329396213724072,0.268676363670997,-0.377767608488277,-0.0809043166856769,0,0.494942484153217,0.07566849566936,0.404672812171218,-0.119116535611204,0.488218398248067,0.861713211516474,1.12647520694017,0.860914480419027,0.772314213976334,0.675348315916565,0.0111409964116332,0.726241356922621,0.300163264418889,0.492700729927007,0.410894160583942,0.282895908083602,274,726,0.274,548,274,452,452,1
"aligned","linear","bad",0.211906505786924,-0.11095213625052,-0.0377481924729487,0.056667963637224,0.03329466433778,-0.0980347034440711,-1.49245362570389,-1.02231916570634,0,0.211906505786924,0.322858642037445,0.561172317797896,0.00622992626433178,0.0892074603927666,1.18437524848295,1.08742551081723,0.0900793221234495,0.706565941701815,0.280113707322885,0.48844615813667,0.0250264079574535,0.0909337146858589,0.48605577689243,0.363652058432935,0.231481455009413,251,749,0.251,502,251,498,498,2
"aligned","linear","good",0.228648943030557,0.147841857141146,0.10181542775308,0.225385799577292,0.216534409844434,0.0297526681315216,-1.11166023219379,-0.575150437882501,0,0.228648943030557,0.0808070858894113,0.18740987653314,0.0180103800206494,0.127152819977774,0.823554626827368,1.08461879824598,0.430982363043055,0.410428002216012,0.0403961122243336,0.0926411301731431,0.00466005953929899,-0.0122453039101098,0.588495575221239,0.342898230088496,0.23111559829473,226,774,0.226,452,226,548,548,2
"aligned","nonlinear","bad",1.60599434024779,1.25588114827553,0.862386249239256,1.05153030764891,1.00676914202418,0.552366621170485,-0.212212065120577,-0.159131685855313,0,1.60599434024779,0.350113191972264,0.872485306926588,-0.0511147926954327,0.235610871183341,1.25488441372009,1.17062084647128,0.235983595002143,0.585087624286355,0.470624864435554,0.642095873909546,-0.120357194161638,0.44748692698335,0.536082474226804,0.406552119129439,0.296551007020809,291,709,0.291,582,291,418,418,2
"aligned","nonlinear","good",1.27335606566612,1.23591141470792,1.11126444367236,1.26063070006718,1.24851778419682,0.287666228390638,-2.3447920170444,-1.47966231165201,0,1.27335606566612,0.0374446509582023,0.463192831921554,-0.0476869305829426,0.486429232298784,0.836029029705342,1.18248174897989,0.885286191104924,0.292187423416529,-0.0046600377510972,0.0786886397854111,-0.0896355112113396,0.342344002782528,0.494661921708185,0.435978647686833,0.296381961196941,281,719,0.281,562,281,438,438,2
"opposite","linear","bad",-0.0647273364875943,0.0551745774862728,0.13145014198192,0.0328288914484566,0.0571555940302585,0.0309932867579331,-0.151716116342742,-0.339102864791161,0,-0.0647273364875943,-0.119901913973867,0.406942821390725,0.0523359253015004,0.131708605121971,1.13557519559361,1.18364042176341,0.132425749279807,0.43794829295678,0.388101615748648,-0.512597885505805,0.156934710382415,0.0668733195126631,0.467248908296943,0.323835516739447,0.228106648207728,229,771,0.229,458,229,542,542,2
"opposite","linear","good",0.0803244418278404,0.124931834957876,0.117495844698619,0.0988720485858406,0.106539621972439,0.0930161937357739,-0.195879143370524,-0.027998646969506,0,0.0803244418278404,-0.0446073931300357,0.112456668569224,-0.0233518045692643,0.0923567343690791,0.854766695654011,1.15706360542788,0.400227799886142,0.657306332229551,0.548965362038842,-0.652012290196388,0.0240776333154788,0.662990131421781,0.489626556016597,0.325802213001383,0.219937651709713,241,759,0.241,482,241,518,518,2
"opposite","nonlinear","bad",-1.2056581781596,-0.608458054600682,-0.416256429762016,-0.417551081124472,-0.418824116622788,-0.393695544105265,-2.05121117694027,-0.846769920676917,0,-1.2056581781596,-0.597200123558914,0.884241547739342,-0.0861347840927649,0.197600068522829,1.3070726220096,1.1027328008861,0.19826719718542,0.808890032392037,0.55315655349032,-0.641039862005237,-0.0600774390293663,-0.233183805010879,0.462068965517241,0.388137931034483,0.287069611669188,290,710,0.29,580,290,420,420,2
"opposite","nonlinear","good",-0.58142003778247,-0.730628509532334,-0.372313109647772,-0.643601266844397,-0.564611323375342,-0.189478410440836,-0.927987169402229,-0.283754563058065,0,-0.58142003778247,0.149208471749864,0.588470399730829,-0.0991264959143162,0.519992194669976,0.921082657253361,1.16445320097369,0.7870672690883,0.722880095951762,0.509242532628542,-0.264691753497857,-0.0051332931126383,0.540723950557071,0.530035335689046,0.407020023557126,0.318538255547611,283,717,0.283,566,283,434,434,2
